OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
235798;5;3;15;0;2019;2;15;5;3;6;7;0;0;1;1;0;0;0;363030,0186;5637829,897;7,053128162;50,87589674;0
235812;5;3;15;0;2019;2;16;2;3;6;6;0;0;1;1;0;0;0;364820,1989;5638378,271;7,078355371;50,88124683;0
235813;5;3;15;0;2019;2;15;2;3;6;2;0;0;1;1;0;0;0;364316,9199;5638580,583;7,071130246;50,88294717;0
235814;5;3;15;0;2019;2;17;2;2;3;2;0;1;0;0;0;0;1;357649,723;5647353,809;6,972986872;50,96018801;0
235815;5;3;15;0;2019;2;5;2;3;5;3;2;0;1;0;0;0;0;349116,15;5648640,226;6,851027366;50,96957674;0
235816;5;3;15;0;2019;2;7;2;3;5;2;0;0;1;0;1;0;0;354015,6191;5646687,462;6,921541858;50,95329054;0
235817;5;3;15;0;2019;2;14;2;3;5;2;0;0;1;0;1;0;1;352750,883;5649419,319;6,902442224;50,97751871;0
235818;5;3;15;0;2019;2;6;2;3;5;2;1;0;1;0;0;0;0;358005,2558;5640424,638;6,980745176;50,8980032;0
235819;5;3;15;0;2019;2;15;2;3;5;2;0;1;1;0;0;0;0;356946,644;5640713,422;6,965588022;50,90033722;0
235820;5;3;15;0;2019;2;15;2;3;3;2;0;1;1;0;0;0;0;353689,7525;5643955,132;6,918002958;50,92865343;0
235821;5;3;15;0;2019;2;16;2;3;1;5;0;1;1;0;0;0;0;353570,6739;5643286,33;6,916578254;50,92261291;0
235853;5;3;15;0;2019;2;11;5;3;5;2;0;1;1;0;0;0;0;357772,9171;5647625,531;6,974633727;50,96266039;0
235892;5;3;15;0;2019;3;5;4;3;0;1;2;0;0;0;1;0;0;356708,7985;5650206,371;6,958473467;50,98559029;1
235893;5;3;15;0;2019;3;14;4;3;0;5;0;1;1;0;0;0;0;353051,0584;5645643,733;6,90823984;50,94366587;1
235894;5;3;15;0;2019;3;16;4;3;5;2;0;1;1;0;0;0;0;354254,5589;5636687,16;6,928934809;50,8634808;0
235895;5;3;15;0;2019;3;15;4;3;6;4;0;0;1;1;0;0;0;353340,415;5643122,976;6,913370102;50,92108643;0
235896;5;3;15;0;2019;3;8;4;3;3;6;0;0;1;0;0;0;0;356199,2084;5645037,509;6,953260906;50,93901164;0
235943;5;3;15;0;2019;3;18;3;3;5;2;2;0;1;0;1;0;0;356392,5789;5644340,052;6,956286165;50,93279188;0
235944;5;3;15;0;2019;3;15;3;3;0;7;0;1;0;0;0;0;0;354978,0811;5643906,671;6,936342401;50,92854325;0
235945;5;3;15;0;2019;3;8;3;3;5;2;0;1;1;0;0;0;0;356438,7007;5644030,088;6,957064174;50,93001775;1
235974;5;3;15;0;2019;3;12;2;3;0;1;0;1;0;0;0;0;0;352940,9432;5648258,071;6,905617296;50,96713169;1
235999;5;3;15;0;2019;3;16;1;3;3;6;0;0;1;0;0;0;0;358189,4701;5648449,208;6,980240546;50,97016541;0
236000;5;3;15;0;2019;3;14;1;3;3;6;0;0;1;0;0;0;0;357309,167;5649846,957;6,967162509;50,98250941;0
236026;5;3;15;0;2019;3;14;7;2;0;1;0;1;0;0;0;0;0;349915,4509;5644447,372;6,864131313;50,93210724;0
236027;5;3;15;0;2019;3;14;7;3;5;3;0;0;1;0;0;0;0;352207,1643;5650911,409;6,894095737;50,99078801;1
236064;5;3;15;0;2019;3;11;6;3;5;3;0;0;1;0;0;0;1;366425,674;5636183,604;7,101966037;50,86189508;1
236065;5;3;15;0;2019;3;8;6;3;6;7;0;0;1;1;0;0;0;366419,5651;5637764,412;7,101301993;50,8761016;1
236066;5;3;15;0;2019;3;22;6;3;3;2;2;0;1;0;0;0;0;360260,5507;5647995,931;7,009893218;50,96659795;0
236067;5;3;15;0;2019;3;10;6;3;2;7;0;1;1;0;0;0;0;356048,5291;5637749,403;6,953991918;50,87347658;1
236068;5;3;15;0;2019;3;13;6;2;5;3;0;1;1;0;0;0;0;354609,8657;5642024,163;6,93185676;50,91153292;1
236122;5;3;15;0;2019;3;8;5;3;5;7;0;1;1;0;0;0;0;355469,325;5644629,053;6,943041516;50,93515845;0
236128;5;3;15;0;2019;3;18;5;3;5;3;0;0;1;0;0;0;0;352756,3528;5653922,176;6,900694196;51,01798489;0
236152;5;3;15;0;2019;3;15;3;3;0;7;0;0;0;0;1;0;1;357869,3542;5648104,045;6,975819162;50,96698456;0
236153;5;3;15;0;2019;3;10;3;3;0;7;0;1;0;0;0;0;1;356559,2856;5646749,664;6,957708076;50,95448823;0
236154;5;3;15;0;2019;3;16;3;3;1;5;0;0;1;0;0;0;0;348561,2689;5643218,69;6,845384646;50,92071205;0
236155;5;3;15;0;2019;3;13;3;2;5;3;0;1;0;0;0;0;0;354409,321;5647057,474;6,926995284;50,95671531;0
236156;5;3;15;0;2019;3;9;3;3;0;1;0;1;0;0;0;0;0;354854,7034;5643809,945;6,934626469;50,92764297;0
236157;5;3;15;0;2019;3;15;3;3;1;5;0;0;1;0;0;0;0;355463,5222;5642300,859;6,943881852;50,91423394;0
236215;5;3;15;0;2019;3;15;2;2;5;3;0;1;1;0;0;0;0;364573,6482;5639576,752;7,074408488;50,89196056;0
236216;5;3;15;0;2019;3;12;2;2;5;3;0;0;1;0;1;0;0;362743,932;5645205,972;7,046290222;50,94212071;1
236217;5;3;15;0;2019;3;13;2;3;6;4;0;0;1;1;0;0;0;361891,0872;5649281,228;7,032611708;50,97854244;1
236218;5;3;15;0;2019;3;16;2;3;6;7;0;0;1;1;0;0;0;351834,49;5652775,671;6,888028604;51,00744518;1
236219;5;3;15;0;2019;3;14;5;3;2;2;0;0;1;0;0;0;0;348819,9136;5646213,63;6,847819398;50,94769317;0
236220;5;3;15;0;2019;3;16;2;3;1;5;0;0;1;0;0;0;0;356719,8388;5641774,622;6,961948201;50,90981794;0
236261;5;3;15;0;2019;3;9;1;3;5;3;0;0;1;0;0;0;1;360061,9003;5648009,233;7,00706084;50,96666927;1
236280;5;3;15;0;2019;3;10;7;3;5;2;0;1;1;0;0;0;0;357976,0174;5644232,885;6,978847169;50,93222086;1
236281;5;3;15;0;2019;3;23;7;3;9;1;2;0;1;0;0;0;0;359069,2968;5639740,878;6,996130409;50,8921188;0
236283;5;3;15;0;2019;3;10;7;3;5;3;0;1;1;0;0;0;0;357977,1521;5644232,161;6,978863588;50,93221463;1
236329;5;3;15;0;2019;3;15;6;3;6;6;0;1;0;1;0;0;0;354775,301;5642357,694;6,934075657;50,91457194;0
236363;5;3;15;0;2019;3;15;5;3;5;3;0;1;1;0;0;0;0;356636,188;5642748,8;6,960376348;50,91855204;0
236399;5;3;15;0;2019;3;5;1;3;6;6;2;0;1;1;0;0;0;351147,8563;5646211,274;6,880936232;50,94827781;0
236421;5;3;15;0;2019;3;13;7;3;0;7;0;0;1;0;1;0;0;353260,827;5646928,824;6,910705805;50,95526789;0
236466;5;3;15;0;2019;3;13;6;2;6;4;0;0;1;1;0;0;0;361494,586;5644571,6;7,028759338;50,93612067;0
236467;5;3;15;0;2019;3;9;6;3;5;3;0;1;1;0;0;0;0;350190,73;5644064,93;6,86820311;50,92874204;1
236468;5;3;15;0;2019;3;13;6;3;5;2;0;1;1;0;0;0;0;354709,8604;5642252,542;6,933187237;50,9136105;1
236469;5;3;15;0;2019;3;11;6;3;5;3;0;1;1;0;0;0;0;355888,644;5644648,418;6,948997506;50,93543741;1
236530;5;3;15;0;2019;3;9;5;3;5;2;0;0;1;0;0;0;0;355019,2155;5654763,579;6,932597587;51,02612124;1
236581;5;3;15;0;2019;3;10;4;3;6;7;0;0;1;1;0;0;0;363124,7578;5644528,111;7,051962227;50,93611904;0
236582;5;3;15;0;2019;3;11;4;3;0;1;0;0;0;0;1;0;0;362739,2968;5648237,17;7,0450812;50,96936199;1
236583;5;3;15;0;2019;3;15;4;3;5;3;0;0;1;0;0;0;0;355368,134;5648327,13;6,94013326;50,96836682;1
236584;5;3;15;0;2019;3;19;4;3;0;7;2;1;0;0;0;0;0;354324,4432;5646458,81;6,926027162;50,95131386;1
236585;5;3;15;0;2019;3;11;4;3;6;4;0;0;1;1;0;0;0;352187,3097;5649446,792;6,894408762;50,97762121;1
