OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
206735;5,20051E+18;5;3;15;0;2020;5;15;3;2;0;1;0;1;0;0;0;0;0;354879,4161;5643827,694;6,934970814;50,92780869;0
206738;5,20051E+18;5;3;15;0;2020;5;15;3;3;0;7;0;1;0;1;0;1;0;355306,7263;5644513,135;6,940775035;50,93407595;0
206746;5,20051E+18;5;3;15;0;2020;5;11;3;3;5;5;0;1;1;0;0;0;0;356328,0027;5645032,209;6,955094896;50,93899611;0
206747;5,20051E+18;5;3;15;0;2020;5;7;5;2;0;1;0;1;0;0;0;0;0;358292,2447;5652222,764;6,980231599;51,0041034;0
206752;5,20051E+18;5;3;15;0;2020;5;10;6;3;5;3;0;1;1;0;0;0;0;349087,8526;5645957,86;6,85173686;50,94546496;0
206756;5,20051E+18;5;3;15;0;2020;5;11;5;3;0;1;0;1;0;0;0;0;0;354860,8161;5642941,878;6,935058896;50,91984339;0
206759;5,20051E+18;5;3;15;0;2020;5;10;4;2;6;7;0;0;1;1;0;0;0;353929,8129;5643033,278;6,921785899;50,92042985;0
206761;5,20051E+18;5;3;15;0;2020;5;7;4;3;0;6;0;0;1;0;0;0;0;356276,4549;5644100,451;6,954729179;50,93060969;0
206762;5,20051E+18;5;3;15;0;2020;5;20;4;3;5;3;0;1;0;0;0;0;0;355359,3502;5645760,245;6,941028326;50,94529665;0
206837;5,20051E+18;5;3;15;0;2020;5;17;3;3;5;3;0;1;1;0;0;0;0;365652,1392;5636324,121;7,090929348;50,86297879;0
206839;5,20051E+18;5;3;15;0;2020;5;12;3;3;0;4;0;0;1;1;0;0;0;360560,63;5647620,224;7,014308071;50,96329413;0
206841;5,20051E+18;5;3;15;0;2020;5;10;3;2;3;6;0;1;1;0;0;0;0;353268,9789;5647178,448;6,910721159;50,95751323;0
206842;5,20051E+18;5;3;15;0;2020;5;10;3;3;1;5;0;1;1;0;0;0;0;356292,5447;5645325,097;6,954475027;50,94161942;0
206854;5,20051E+18;5;3;15;0;2020;5;19;5;3;0;1;0;1;0;0;0;0;0;354430,4028;5646728,273;6,927426901;50,95376221;0
206863;5,20051E+18;5;3;15;0;2020;5;8;5;3;0;5;0;1;1;0;0;0;0;361606,3329;5637650,42;7,0329727;50,87394453;0
206898;5,20051E+18;5;3;15;0;2020;5;13;5;3;0;7;0;1;1;0;0;0;0;353689,1791;5643953,402;6,917995498;50,92863774;0
206906;5,20051E+18;5;3;15;0;2020;5;17;2;3;5;7;0;0;1;0;1;0;0;361890,2573;5649451,171;7,032535323;50,98006956;0
206908;5,20051E+18;5;3;15;0;2020;5;15;2;2;1;5;0;1;1;0;0;0;0;357406,3571;5648650,622;6,969015433;50,97178216;0
206910;5,20051E+18;5;3;15;0;2020;5;13;2;3;0;7;0;1;1;0;0;0;0;356144,7228;5646495,588;6,951910008;50,95210156;0
206912;5,20051E+18;5;3;15;0;2020;5;12;2;3;1;6;0;1;1;0;0;0;0;354497,5735;5642382,632;6,930117594;50,9147261;0
206972;5,20051E+18;5;3;15;0;2020;5;10;1;3;1;5;0;0;1;0;0;0;1;355586,0799;5648479,167;6,943174767;50,96978782;0
206974;5,20051E+18;5;3;15;0;2020;5;17;1;3;4;4;0;0;1;1;0;0;0;348592,3727;5644876,929;6,845138169;50,93562156;1
206997;5,20051E+18;5;3;15;0;2020;5;17;4;3;3;6;0;1;0;0;0;0;0;360930,0154;5640869,8;7,02214079;50,90271577;0
207003;5,20051E+18;5;3;15;0;2020;5;15;4;3;6;4;0;0;1;1;0;0;0;358468,4556;5651083,785;6,983185449;50,99391086;0
207006;5,20051E+18;5;3;15;0;2020;5;7;4;3;8;7;0;0;1;0;0;0;1;353201,0462;5650685,867;6,908338597;50,98901552;0
207014;5,20051E+18;5;3;15;0;2020;5;9;4;3;5;2;0;1;1;0;0;0;0;357394,4518;5648303,604;6,968982047;50,9686606;0
207024;5,20051E+18;5;3;15;0;2020;5;18;4;2;0;1;0;1;0;0;0;0;0;350841,9548;5644399,62;6,877326322;50,93191846;0
207028;5,20052E+18;5;3;15;0;2020;5;18;7;3;4;2;0;0;1;0;0;0;0;355817,332;5648892,987;6,946302056;50,97356465;0
207035;5,20052E+18;5;3;15;0;2020;5;11;2;3;1;5;0;1;1;0;0;0;0;356232,6585;5647664,896;6,952699215;50,96263187;0
207046;5,20052E+18;5;3;15;0;2020;5;9;3;3;0;1;0;1;0;0;0;0;0;354885,8165;5643833,189;6,93505964;50,92785968;0
207052;5,20052E+18;5;3;15;0;2020;5;13;7;3;0;1;0;1;0;0;0;0;0;354258,4388;5640279,244;6,927557869;50,89576313;0
207065;5,20052E+18;5;3;15;0;2020;5;14;7;3;0;5;0;1;1;0;0;0;0;355181,0002;5644067,942;6,939163869;50,93004354;0
207076;5,20052E+18;5;3;15;0;2020;5;12;7;3;6;4;0;0;1;1;0;0;0;364887,839;5639900,257;7,078753536;50,89494168;0
207083;5,20052E+18;5;3;15;0;2020;5;7;2;3;5;2;0;1;1;0;0;0;0;359166,5626;5639251,652;6,997701093;50,88774576;0
207095;5,20052E+18;5;3;15;0;2020;5;17;3;3;0;7;0;1;0;1;0;0;0;357235,8058;5642945,711;6,968824239;50,92047033;0
207099;5,20052E+18;5;3;15;0;2020;5;18;1;2;8;1;0;0;0;0;1;0;0;352324,9602;5653943,003;6,894539634;51,01806142;0
207134;5,20052E+18;5;3;15;0;2020;5;12;6;3;0;7;0;1;1;0;0;0;0;363028,9574;5646409,1;7,049892234;50,95300145;0
207135;5,20052E+18;5;3;15;0;2020;5;19;2;3;1;6;0;0;1;0;0;0;0;355879,4287;5646807,639;6,948012023;50,95483964;0
207136;5,20052E+18;5;3;15;0;2020;5;5;6;3;4;1;0;0;1;0;0;0;0;363621,0781;5644497,36;7,059033131;50,93596026;0
207142;5,20052E+18;5;3;15;0;2020;5;13;6;3;5;3;0;1;1;0;0;0;0;362164,0578;5650587,282;7,036002384;50,99034567;0
207145;5,20052E+18;5;3;15;0;2020;5;9;6;3;5;3;0;0;1;0;0;0;1;360060,1948;5648010,379;7,007036126;50,96667916;0
207146;5,20052E+18;5;3;15;0;2020;5;17;2;3;1;3;0;1;1;0;0;0;0;356723,9696;5645534,556;6,960529355;50,94360917;0
207147;5,20052E+18;5;3;15;0;2020;5;13;3;3;0;5;0;1;0;0;0;0;1;349187,4494;5657488,273;6,848364874;51,04910529;0
207148;5,20052E+18;5;3;15;0;2020;5;10;6;3;0;2;0;1;1;0;0;0;0;353943,1597;5649652,268;6,919320533;50,97991577;0
207153;5,20052E+18;5;3;15;0;2020;5;13;6;2;4;6;0;1;1;0;0;0;0;356018,0666;5645951,948;6,950322988;50,94718435;0
207157;5,20052E+18;5;3;15;0;2020;5;12;6;2;5;2;0;1;1;0;0;0;0;355751,7815;5644073,807;6,947278425;50,93023927;0
207160;5,20052E+18;5;3;15;0;2020;5;7;3;3;0;7;0;1;1;0;0;0;0;355407,96;5644612,042;6,942175522;50,93499019;0
207185;5,20052E+18;5;3;15;0;2020;5;11;2;3;0;1;0;1;0;0;0;0;1;356958,0162;5640522,74;6,965824336;50,89862638;0
207197;5,20052E+18;5;3;15;0;2020;5;9;3;2;5;2;0;1;0;0;0;0;1;357252,3976;5642726,351;6,96914599;50,91850305;0
207232;5,20052E+18;5;3;15;0;2020;5;18;2;3;5;6;0;1;1;0;0;0;0;354035,6446;5642783,574;6,923390489;50,91821261;0
207245;5,20052E+18;5;3;15;0;2020;5;17;3;3;1;3;0;1;1;0;0;0;0;356466,9922;5646280,818;6,956579753;50,9502518;0
207251;5,20052E+18;5;3;15;0;2020;5;13;1;2;0;1;0;1;0;0;0;0;0;358960,365;5639860,172;6,994536481;50,89316432;0
207277;5,20052E+18;5;3;15;0;2020;5;9;4;3;5;2;0;1;0;0;0;0;0;355698,4192;5649947,575;6,944190837;50,98301218;0
207279;5,20052E+18;5;3;15;0;2020;5;17;7;3;5;3;0;1;1;0;0;0;0;349862,519;5650253,395;6,86098344;50,98426813;0
207280;5,20052E+18;5;3;15;0;2020;5;2;7;3;0;4;2;0;1;1;0;0;0;353327,0318;5642783,042;6,913316521;50,91802816;0
207281;5,20052E+18;5;3;15;0;2020;5;12;7;3;0;7;0;0;0;0;0;0;1;354740,2253;5644298,588;6,932803896;50,93200547;0
207282;5,20052E+18;5;3;15;0;2020;5;20;4;3;0;1;0;1;1;0;0;0;0;353770,709;5642213,306;6,919852523;50,91302071;0
207342;5,20052E+18;5;3;15;0;2020;5;11;6;3;0;6;0;0;1;0;0;1;0;356001,686;5650093,125;6,948450723;50,98439613;0
207343;5,20052E+18;5;3;15;0;2020;5;15;6;3;5;3;0;1;1;0;0;0;0;350888,745;5652431,677;6,87469904;51,00410958;0
207344;5,20052E+18;5;3;15;0;2020;5;17;6;3;6;3;0;0;1;1;0;0;0;352935,3097;5648265,638;6,905534063;50,96719825;0
207346;5,20052E+18;5;3;15;0;2020;5;19;6;2;2;7;0;0;1;0;1;0;0;354476,3315;5643591,65;6,929333235;50,92558589;0
207349;5,20052E+18;5;3;15;0;2020;5;13;6;2;5;2;0;0;1;0;1;0;0;357147,9412;5642088,829;6,967910531;50,91274782;0
207350;5,20052E+18;5;3;15;0;2020;5;20;6;3;0;1;0;0;0;0;0;0;1;354914,7675;5642126,612;6,936150177;50,91253033;1
