OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;USTRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
157678;5,21E+18;5;3;15;0;2021;3;8;6;2;0;2;0;0;0;1;0;1;0;0;355702,02;5647430,586;6,945240831;50,96039353
157679;5,21E+18;5;3;15;0;2021;12;8;6;3;0;3;0;0;1;1;0;0;0;0;352736,03;5644611,921;6,904175791;50,93431303
157680;5,21E+18;5;3;15;0;2021;1;14;7;3;0;1;0;0;1;0;0;0;0;0;354361,4632;5643450,66;6,927756222;50,92428986
157681;5,21E+18;5;3;15;0;2021;6;23;6;3;0;1;2;0;0;0;0;0;0;1;353709,1273;5646930,308;6,917083656;50,9553952
157682;5,21E+18;5;3;15;0;2021;11;19;3;3;0;5;2;0;1;0;0;0;0;1;355135,3868;5644557,036;6,938320825;50,93442747
157686;5,21E+18;5;3;15;0;2021;2;17;6;2;0;1;1;1;1;0;0;0;0;0;351614,228;5643064,483;6,888851933;50,92011945
157688;5,21E+18;5;3;15;0;2021;9;20;2;3;0;1;2;1;0;0;0;0;0;1;353016,2252;5648325,695;6,906661355;50,96775861
157690;5,21E+18;5;3;15;0;2021;6;7;3;3;0;4;0;0;1;1;1;0;0;0;354114,4716;5645706,534;6,923341283;50,9445003
157691;5,21E+18;5;3;15;0;2021;11;0;1;3;0;1;2;1;0;0;0;0;0;1;355014,539;5647048,365;6,935610363;50,95678603
157693;5,21E+18;5;3;15;0;2021;9;23;4;2;5;2;2;0;0;1;0;1;0;0;353425,1949;5647074,888;6,912985619;50,95662234
157697;5,21E+18;5;3;15;0;2021;7;17;3;3;2;1;0;0;0;1;0;0;0;0;354648,9751;5646831,691;6,930495397;50,95474676
157698;5,21E+18;5;3;15;0;2021;5;19;7;3;9;1;0;0;1;0;0;0;0;0;353741,3006;5646991,065;6,91751701;50,95594936
157699;5,21E+18;5;3;15;0;2021;5;23;6;3;0;7;2;0;1;1;0;0;0;0;355163,552;5645899,302;6,938187749;50,94649717
157701;5,21E+18;5;3;15;0;2021;9;19;4;3;5;7;0;0;1;1;0;0;0;0;355475,5444;5645683,784;6,94271156;50,94463866
157702;5,21E+18;5;3;15;0;2021;12;12;3;3;0;7;0;1;0;1;0;1;0;0;354864,375;5644520,088;6,934481241;50,93402729
157703;5,21E+18;5;3;15;0;2021;10;10;3;2;0;1;0;1;0;0;0;1;0;0;351704,3243;5648292,178;6,888004481;50,96712118
157704;5,21E+18;5;3;15;0;2021;6;5;7;3;0;5;0;1;0;1;0;0;0;1;355992,1326;5645700,811;6,950053358;50,94492095
157705;5,21E+18;5;3;15;0;2021;4;10;7;3;4;2;0;1;0;1;0;0;0;0;352901,398;5647401,582;6,905400782;50,95942472
157706;5,21E+18;5;3;15;0;2021;5;9;4;3;5;3;0;0;1;0;0;0;0;1;353905,8967;5643060,202;6,921435086;50,92066575
157707;5,21E+18;5;3;15;0;2021;5;17;7;3;1;3;0;0;1;1;0;0;0;0;351102,3569;5646100,938;6,88033409;50,94727453
157708;5,21E+18;5;3;15;0;2021;3;13;1;3;0;5;0;0;1;1;0;0;0;0;352656,1996;5645098,512;6,902843722;50,93866543
157710;5,21E+18;5;3;15;0;2021;7;7;6;3;0;1;0;1;0;0;0;1;0;0;353536,5836;5645674,437;6,915133852;50,94406534
157711;5,21E+18;5;3;15;0;2021;6;0;3;3;1;3;2;0;1;0;0;0;0;1;355021,0176;5643950,327;6,936935601;50,92894637
157715;5,21E+18;5;3;15;0;2021;12;11;4;3;3;6;0;1;1;1;0;0;0;0;354680,3288;5642171,7;6,932799627;50,91287654
157717;5,21E+18;5;3;15;0;2021;2;17;4;3;6;7;0;0;0;1;1;0;0;0;353986,7245;5647215,401;6,920918981;50,95802763
157718;5,21E+18;5;3;15;0;2021;11;5;1;3;6;4;2;0;0;1;1;0;0;0;355296,6925;5645352,592;6,940298953;50,94161745
157720;5,21E+18;5;3;15;0;2021;9;17;7;3;3;2;0;0;1;1;0;0;0;0;354141,81;5642680,013;6,924941235;50,91730878
157721;5,21E+18;5;3;15;0;2021;11;2;7;3;1;5;2;1;0;1;0;0;0;1;355100,3502;5648404,151;6,936291406;50,96899168
157722;5,21E+18;5;3;15;0;2021;2;0;5;3;1;7;2;0;1;1;0;0;0;0;352002,699;5647091,044;6,892739334;50,95640396
157724;5,21E+18;5;3;15;0;2021;10;0;2;3;9;5;2;0;0;1;0;0;0;1;355531,6249;5645904,212;6,943421872;50,94663365
157726;5,21E+18;5;3;15;0;2021;2;14;1;3;0;3;0;0;1;1;0;0;0;0;355686,416;5644203,259;6,946297629;50,93138628
157728;5,21E+18;5;3;15;0;2021;9;9;3;3;0;1;0;0;1;0;0;0;0;0;353758,8593;5642194,439;6,919691639;50,91284816
157730;5,21E+18;5;3;15;0;2021;5;13;7;3;5;2;0;0;1;1;0;0;0;0;352443,3626;5646674,604;6,899178015;50,95277462
157731;5,21E+18;5;3;15;0;2021;9;9;5;3;5;2;0;0;1;0;0;0;0;1;354179,2664;5646580,821;6,923912872;50,95237362
157732;5,21E+18;5;3;15;0;2021;9;5;7;2;0;1;2;0;0;0;0;0;0;1;354837,6625;5645605,52;6,93366888;50,94377506
157734;5,21E+18;5;3;15;0;2021;3;14;5;3;4;6;0;0;1;1;0;0;0;0;353411,0161;5646773,346;6,912905312;50,95390889
157735;5,21E+18;5;3;15;0;2021;11;13;6;3;5;3;0;0;0;1;0;1;0;0;353034,6163;5646030,285;6,907849977;50,94713545
157740;5,21E+18;5;3;15;0;2021;5;14;7;3;5;3;0;1;1;1;0;0;0;0;353750,9091;5647442,906;6,917472152;50,96001233
157741;5,21E+18;5;3;15;0;2021;4;12;1;3;5;3;0;1;1;1;0;0;0;0;355156,2672;5644988,467;6,938446295;50,93830988
157742;5,21E+18;5;3;15;0;2021;9;17;2;3;0;5;0;0;1;1;0;0;0;1;352332,0418;5646198,197;6,897787454;50,94846486
157743;5,21E+18;5;3;15;0;2021;7;17;1;3;5;2;0;0;0;1;0;0;0;0;355313,7895;5642609,539;6,941630863;50,91697048
157744;5,21E+18;5;3;15;0;2021;12;1;7;3;0;1;2;1;1;0;0;0;0;0;354772,1915;5643769,98;6,933469085;50,92726305
157747;5,21E+18;5;3;15;0;2021;9;20;1;3;0;7;1;0;1;0;1;0;0;0;352815,9154;5641519,535;6,90655981;50,90654336
157748;5,21E+18;5;3;15;0;2021;11;9;3;2;6;2;0;0;0;1;1;0;0;0;354098,0209;5651349,831;6,920843395;50,99521034
157749;5,21E+18;5;3;15;0;2021;6;12;3;3;6;4;0;0;1;0;1;0;0;0;352452,7499;5645020,628;6,899981624;50,9379135
157750;5,21E+18;5;3;15;0;2021;5;13;1;3;1;5;0;0;1;1;0;0;0;0;354476,0988;5648445,329;6,927390345;50,96920438
157751;5,21E+18;5;3;15;0;2021;3;16;3;3;0;5;0;0;1;1;0;0;0;0;353732,7709;5651058,372;6,915759504;50,99249842
157753;5,21E+18;5;3;15;0;2021;1;7;5;3;6;7;0;1;0;1;1;0;0;0;352194,4137;5647134,477;6,895449456;50,95684348
157755;5,21E+18;5;3;15;0;2021;5;15;3;3;0;4;0;1;1;0;1;0;0;0;355259,7906;5642831,363;6,940775164;50,91895042
157756;5,21E+18;5;3;15;0;2021;12;11;3;3;7;1;0;1;1;0;0;0;0;0;355466,5636;5644319,409;6,943125042;50,93237505
157758;5,21E+18;5;3;15;0;2021;2;22;4;3;0;1;2;0;0;0;0;0;0;1;353842,2191;5647099,116;6,91890952;50,95694598
157759;5,21E+18;5;3;15;0;2021;10;15;6;3;6;4;0;0;0;0;1;0;0;1;355332,2133;5645086,919;6,940909704;50,93923882
157760;5,21E+18;5;3;15;0;2021;12;17;1;3;5;3;2;0;1;1;0;0;0;0;352360,9926;5645618,125;6,898434454;50,94325944
157761;5,21E+18;5;3;15;0;2021;11;9;5;3;2;6;0;0;0;1;0;0;0;0;354149,5384;5644164,055;6,924457531;50,9306474
157762;5,21E+18;5;3;15;0;2021;6;14;5;3;0;2;0;0;0;1;0;1;0;0;355177,6284;5654766,118;6,934853944;51,02618399
157764;5,21E+18;5;3;15;0;2021;6;15;4;3;0;1;0;0;0;0;0;1;0;0;354065,3407;5636577,87;6,926291455;50,86245091
157765;5,21E+18;5;3;15;0;2021;12;13;7;3;0;7;0;0;1;0;0;0;0;0;353510,4026;5646703,626;6,914347404;50,95330761
157766;5,21E+18;5;3;15;0;2021;7;19;4;2;8;1;0;0;1;1;0;0;0;0;354994,2471;5644009,63;6,936531329;50,92947259
157768;5,21E+18;5;3;15;0;2021;5;15;1;2;0;5;0;0;0;1;0;1;0;0;353161,2248;5642670,246;6,911004701;50,91697233
157769;5,21E+18;5;3;15;0;2021;1;8;6;3;5;3;0;0;0;1;0;0;0;1;355326,9181;5644419,511;6,941099365;50,93323964
157770;5,21E+18;5;3;15;0;2021;5;12;7;3;5;3;0;0;0;1;0;0;0;1;355495,6039;5643374,589;6,943912538;50,92389141
157771;5,21E+18;5;3;15;0;2021;2;6;3;3;5;3;1;0;0;1;0;0;0;0;355995,4755;5652119,363;6,947558936;51,00260385
157772;5,21E+18;5;3;15;0;2021;9;15;4;3;1;5;0;0;0;1;0;0;0;0;353343,7846;5646604,667;6,91201672;50,95237594
157776;5,21E+18;5;3;15;0;2021;6;8;2;3;6;4;0;0;1;0;1;0;0;0;354195,4481;5642625,803;6,925725452;50,91683517
157777;5,21E+18;5;3;15;0;2021;11;3;6;3;5;2;2;0;0;1;0;0;0;1;355028,4867;5645987,538;6,936231241;50,94725617
157778;5,21E+18;5;3;15;0;2021;5;12;7;3;2;6;0;0;0;1;0;1;0;0;351875,0481;5644662,527;6,891910784;50,93454732
157779;5,21E+18;5;3;15;0;2021;10;18;7;3;0;1;0;0;0;0;0;1;0;0;353232,015;5653116,37;6,907797042;51,01086513
157781;5,21E+18;5;3;15;0;2021;2;12;7;3;0;1;0;0;0;0;0;1;0;0;355815,1019;5648680,715;6,946354479;50,97165646
157786;5,21E+18;5;3;15;0;2021;9;8;5;3;6;4;0;0;1;0;1;0;0;0;354069,013;5642679,113;6,923906671;50,91728229
157787;5,21E+18;5;3;15;0;2021;5;18;7;2;0;1;1;1;1;0;0;0;0;0;354795,327;5643781,421;6,933793508;50,92737169
157789;5,21E+18;5;3;15;0;2021;12;16;3;3;0;5;0;1;1;1;0;0;0;0;355914,8882;5645304,363;6,94911136;50,94133884
157790;5,21E+18;5;3;15;0;2021;9;9;5;3;5;3;0;0;0;1;0;1;0;0;353281,8109;5642546,725;6,912768673;50,91589296
157793;5,21E+18;5;3;15;0;2021;9;17;3;3;6;6;0;0;1;0;1;0;0;0;355607,2206;5644616,844;6,945007531;50,93508327
157796;5,21E+18;5;3;15;0;2021;11;8;3;3;0;7;0;0;1;1;0;0;0;0;353616,778;5643325,532;6,917218031;50,92297691
157797;5,21E+18;5;3;15;0;2021;2;17;5;3;1;5;1;0;1;1;0;0;0;0;355161,6233;5645644,958;6,938261461;50,94421095
157798;5,21E+18;5;3;15;0;2021;2;18;4;3;3;6;2;1;1;1;0;0;0;0;352303,7443;5645481,493;6,89767554;50,94201693
157799;5,21E+18;5;3;15;0;2021;6;11;3;3;0;5;0;0;1;1;0;0;0;0;355286,9323;5641948,798;6,941511112;50,91102577
157802;5,21E+18;5;3;15;0;2021;10;21;3;3;3;1;2;1;0;1;0;1;0;0;355800,9679;5642601,634;6,948560043;50,91702138
157803;5,21E+18;5;3;15;0;2021;12;13;2;3;5;3;0;1;0;1;0;0;0;0;353494,7427;5651798,999;6,912071337;50,99909355
157804;5,21E+18;5;3;15;0;2021;4;13;7;3;0;1;0;0;1;0;0;0;0;0;353819,1578;5642290,445;6,92051033;50,91372621
157806;5,21E+18;5;3;15;0;2021;9;12;2;3;6;4;0;0;1;0;1;0;0;0;354154,8605;5642666,943;6,925131993;50,91719462
157808;5,21E+18;5;3;15;0;2021;6;15;7;3;5;3;0;0;0;1;0;1;0;0;351595,996;5650141,56;6,885707955;50,98371259
157810;5,21E+18;5;3;15;0;2021;4;9;3;3;0;7;0;0;0;0;0;0;0;1;353313,4379;5650545,149;6,909995681;50,9877796
157811;5,21E+18;5;3;15;0;2021;6;11;3;3;0;4;0;0;1;0;1;0;0;0;355461,022;5644098,338;6,943133897;50,93038694
157812;5,21E+18;5;3;15;0;2021;9;15;7;3;0;1;0;0;1;0;0;0;0;0;355740,6286;5647242,248;6,945864888;50,95871064
157813;5,21E+18;5;3;15;0;2021;12;8;6;3;0;1;0;2;1;0;0;0;0;0;353888,5379;5650620,984;6,918153467;50,98860736
157814;5,21E+18;5;3;15;0;2021;2;15;4;3;6;3;0;0;0;0;1;0;0;1;355265,9937;5641766,352;6,941285833;50,90938092
157815;5,21E+18;5;3;15;0;2021;6;10;5;2;0;7;0;1;1;0;0;0;0;0;352397,2102;5643490,553;6,899811291;50,92414918
157817;5,21E+18;5;3;15;0;2021;9;2;1;2;3;6;2;0;1;0;0;0;0;1;354969,978;5647022,798;6,934986505;50,95654506
