OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE,Participants
246197,5,3,15,0,2019,August,18,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Abbiegeunfall,Tageslicht,1,1,0,0,0,0,"357175,8335","5638785,036",6.96959913,50.88306352,trocken,,"Rad, PKW"
246198,5,3,15,0,2019,August,12,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr,Tageslicht,1,1,0,0,0,0,"353634,333","5643327,751",6.917466742,50.9230013,trocken,,"Rad, PKW"
246199,5,3,15,0,2019,August,13,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr,Tageslicht,1,1,0,0,0,0,"356465,9907","5646015,17",6.956670219,50.94786422,trocken,,"Rad, PKW"
246200,5,3,15,0,2019,August,10,Mittwoch,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr,Tageslicht,0,0,0,0,1,1,"356532,4995","5643651,313",6.958547126,50.92663707,trocken,,"Gkfz, Sonstige"
246201,5,3,15,0,2019,August,9,Mittwoch,Unfall mit Leichtverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,0,0,0,0,0,1,"356644,7947","5642731,578",6.960505479,50.91839941,trocken,,Sonstige
246202,5,3,15,0,2019,August,18,Mittwoch,Unfall mit Schwerverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,1,0,0,0,0,0,"356830,9741","5643300,92",6.962928941,50.92356227,nass/feucht,,Rad
246258,5,3,15,0,2019,August,12,Dienstag,Unfall mit Leichtverletzten,Abkommen von Fahrbahn nach links,Sonstiger Unfall,Tageslicht,0,1,0,0,0,1,"366385,9565","5638147,067",7.100684718,50.87953303,trocken,,"PKW, Sonstige"
246259,5,3,15,0,2019,August,23,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr,Dunkelheit,0,1,0,0,0,0,"365773,1797","5638421,124",7.09187865,50.88185415,nass/feucht,,PKW
246260,5,3,15,0,2019,August,15,Dienstag,Unfall mit Leichtverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,1,0,0,0,0,0,"355330,9885","5648425,549",6.939565448,50.96924196,trocken,,Rad
246261,5,3,15,0,2019,August,19,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Tageslicht,0,1,0,0,0,0,"348320,1711","5646128,904",6.840745809,50.94680053,nass/feucht,,PKW
