OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE
97885,5,3,15,0,2019,1,8,5,3,2,6,0,0,1,0,0,0,0,"354822,4633","5643234,977",6.934396945,50.92246775,1,
97968,5,3,15,0,2019,1,14,1,3,1,6,0,0,1,0,0,0,0,"355235,9097","5651548,209",6.936968356,50.99728047,1,
97969,5,3,15,0,2019,1,13,1,3,5,3,0,0,1,0,0,0,0,"352972,656","5644370,014",6.907638579,50.93219948,1,
97987,5,3,15,0,2019,1,17,4,3,0,1,1,1,0,0,0,0,0,"356543,7524","5652823,439",6.955089693,51.00906819,1,
97990,5,3,15,0,2019,1,10,4,3,6,4,0,0,1,1,0,0,0,"352977,8834","5646966,238",6.906664973,50.955532,1,
97993,5,3,15,0,2019,1,8,4,3,5,2,1,0,1,0,0,0,0,"357739,834","5635003,216",6.979082211,50.84921505,2,
98020,5,3,15,0,2019,1,10,7,3,0,7,0,0,0,1,0,0,1,"359798,6398","5647429,669",7.003537372,50.96139667,1,
98023,5,3,15,0,2019,1,14,7,3,3,6,0,0,1,0,0,0,1,"358131,4262","5648106,644",6.979548013,50.96707251,0,
98024,5,3,15,0,2019,1,12,7,3,2,2,0,0,1,0,0,0,0,"350565,1725","5649246,674",6.871400642,50.97540423,1,
98025,5,3,15,0,2019,1,9,7,2,0,1,0,1,0,0,0,0,0,"347872,8256","5648258,874",6.833492215,50.96582285,1,
98146,5,3,15,0,2019,1,18,3,3,2,6,2,0,1,0,0,0,0,"359533,356","5641811,621",7.001927839,50.91084198,2,
98149,5,3,15,0,2019,1,19,6,3,4,3,2,0,1,0,0,0,0,"364178,5137","5641425,672",7.068105833,50.90848502,1,
98150,5,3,15,0,2019,1,12,3,2,6,7,0,0,0,1,0,0,1,"357824,5328","5644316,34",6.976660262,50.93293355,0,
98151,5,3,15,0,2019,1,7,3,3,6,4,1,0,1,1,0,0,0,"349347,6293","5652400,253",6.852762791,51.0034257,0,
98152,5,3,15,0,2019,1,19,6,3,0,2,2,0,1,1,0,0,0,"359599,9527","5650179,658",6.999648076,50.9860626,1,
98154,5,3,15,0,2019,1,9,6,3,5,2,0,0,1,0,0,0,1,"353354,0745","5644888,123",6.912854244,50.93695264,0,
98155,5,3,15,0,2019,1,18,6,2,6,4,2,0,1,1,0,0,0,"354791,051","5646162,858",6.932783621,50.94877197,1,
98157,5,3,15,0,2019,1,11,6,3,5,3,0,0,1,0,0,0,0,"349112,5182","5645138,424",6.852427127,50.93810774,1,
98208,5,3,15,0,2019,1,22,4,3,9,1,2,0,1,0,0,0,0,"358874,161","5644392,296",6.991558561,50.93387395,1,
98209,5,3,15,0,2019,1,21,4,3,1,6,2,0,1,0,0,0,0,"363642,333","5640878,661",7.060688324,50.90344236,2,
98210,5,3,15,0,2019,1,7,4,3,6,4,2,0,1,1,0,0,0,"360391,113","5648479,677",7.011565748,50.97097709,1,
98211,5,3,15,0,2019,1,6,4,3,5,2,2,0,1,0,0,0,0,"356520,284","5652109,356",6.955037677,51.00264504,1,
98212,5,3,15,0,2019,1,10,4,3,2,6,0,0,1,0,0,0,0,"353498,6487","5651884,658",6.912092402,50.99986432,2,
98213,5,3,15,0,2019,1,20,4,3,1,6,2,0,1,0,0,0,0,"347036,5458","5645250,127",6.822855689,50.9385646,2,
98214,5,3,15,0,2019,1,11,4,2,6,4,0,0,1,1,0,0,0,"354170,7764","5645957,081",6.924041889,50.94676613,1,
98215,5,3,15,0,2019,1,7,4,3,6,2,2,0,1,1,0,0,0,"357209,1539","5641146,442",6.969149404,50.90429374,1,
98216,5,3,15,0,2019,1,11,4,3,0,1,0,1,0,0,0,0,0,"355987,8816","5641138,641",6.951794681,50.9039203,2,
98266,5,3,15,0,2019,1,20,4,2,9,1,2,0,1,0,0,0,0,"364031,2452","5641725,178",7.065900804,50.91114217,2,
98307,5,3,15,0,2019,1,13,3,3,6,6,0,1,0,1,0,0,0,"357441,9336","5644249,818",6.971245048,50.93224127,0,
98308,5,3,15,0,2019,1,14,3,3,5,5,0,1,1,0,0,0,0,"356509,4628","5646488,446",6.957102149,50.9521283,0,
98309,5,3,15,0,2019,1,13,3,3,0,2,0,0,1,0,0,0,1,"351062,425","5652128,608",6.877297045,51.00143109,0,
98310,5,3,15,0,2019,1,18,3,3,1,5,2,1,1,0,0,0,0,"353816,2","5646208,431",6.918896958,50.94893512,0,
98311,5,3,15,0,2019,1,18,3,3,3,2,2,0,0,0,1,1,0,"354855,718","5641522,94",6.935550864,50.90709041,0,
98331,5,3,15,0,2019,2,14,6,3,2,6,0,0,1,0,0,0,0,"365967,2828","5634046,444",7.096238689,50.84258072,0,
98336,5,3,15,0,2019,2,7,6,3,2,6,1,0,1,0,0,0,1,"357063,5383","5636082,71",6.96905987,50.85874983,0,
98338,5,3,15,0,2019,2,16,6,3,2,6,0,0,1,0,0,0,0,"353599,4036","5652940,474",6.913101475,51.00937808,0,
98339,5,3,15,0,2019,2,14,6,3,2,6,0,0,1,0,0,0,0,"358584,5875","5640430,731",6.988975843,50.89820011,1,
98343,5,3,15,0,2019,2,6,6,2,2,7,2,0,1,0,0,1,0,"349313,0937","5649943,21",6.853290225,50.9813372,1,
98415,5,3,15,0,2019,1,22,3,3,2,7,2,0,1,0,0,0,0,"363443,8726","5646241,94",7.055858596,50.95159758,0,
98491,5,3,15,0,2019,1,9,2,3,5,3,0,0,1,0,0,0,0,"357540,3385","5644027,528",6.972731398,50.93026787,1,
98492,5,3,15,0,2019,1,11,2,3,6,2,0,0,1,1,0,0,0,"354703,371","5643068,905",6.932769828,50.92094533,1,
98542,5,3,15,0,2019,1,20,5,3,9,1,2,0,1,0,0,0,0,"358218,4792","5639973,684",6.983950399,50.89400282,2,
98544,5,3,15,0,2019,1,6,5,3,9,1,2,0,1,0,0,0,0,"353189,0288","5650031,283",6.908431964,50.98313002,1,
98610,5,3,15,0,2019,2,16,3,3,3,6,0,0,1,0,0,1,0,"356104,1327","5638879,033",6.954337068,50.88364236,0,
98640,5,3,15,0,2019,2,13,2,3,6,4,0,0,0,1,0,0,1,"357833,6699","5644330,328",6.976784753,50.93306151,0,
98641,5,3,15,0,2019,2,17,2,3,2,6,1,0,1,0,0,0,0,"355253,188","5646683,664",6.939151062,50.95356855,0,
98642,5,3,15,0,2019,2,11,2,3,0,7,0,0,0,0,0,1,1,"354141,2858","5636730,967",6.927308843,50.86384592,0,
98643,5,3,15,0,2019,2,10,2,3,5,3,0,0,1,0,0,0,0,"357206,881","5641145,815",6.969117345,50.90428755,0,
98644,5,3,15,0,2019,2,12,2,3,2,7,0,0,0,0,0,1,1,"352077,9737","5642447,611",6.895695219,50.91469496,0,
98688,5,3,15,0,2019,2,17,5,2,2,6,0,0,1,0,0,0,0,"351492,692","5652271,474",6.883366413,51.00282615,0,
98718,5,3,15,0,2019,2,14,2,2,2,6,0,0,1,0,0,0,0,"356878,396","5634235,522",6.96715298,50.84210324,0,
98720,5,3,15,0,2019,2,9,2,2,3,3,0,0,1,0,0,1,1,"360826,094","5649772,615",7.017262197,50.98270219,0,
98725,5,3,15,0,2019,2,23,2,2,2,6,2,0,1,0,0,0,0,"355704,2159","5638931,508",6.948634913,50.88401421,0,
98727,5,3,15,0,2019,2,19,2,3,0,3,2,0,1,0,0,0,0,"356752,5131","5638925,387",6.963530218,50.88422005,0,
98757,5,3,15,0,2019,2,13,1,3,5,3,0,0,1,0,0,0,0,"357766,7935","5645082,322",6.975540119,50.93980317,0,
98758,5,3,15,0,2019,2,3,1,3,5,2,2,0,1,0,0,0,0,"356173,73","5644604,297",6.953069511,50.93511207,0,
98781,5,3,15,0,2019,2,9,4,3,0,1,0,1,0,0,0,0,0,"360514,0824","5646448,321",7.014094787,50.95275078,0,
